"filename", "language", "Go", "Makefile", "Go Module File", "Go Checksum File", "CMake", "Shell Script", "Markdown", "XML", "YAML", "JSON", "Docker", "comment", "blank", "total"
"c:\Users\admin\IdeaProjects\untitled\scheduler\xpu-pool-service\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\admin\IdeaProjects\untitled\scheduler\xpu-pool-service\ci\VersionSet.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\admin\IdeaProjects\untitled\scheduler\xpu-pool-service\ci\app_define.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 13
"c:\Users\admin\IdeaProjects\untitled\scheduler\xpu-pool-service\ci\at\at_deploy.sh", "Shell Script", 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 3, 5, 31
"c:\Users\admin\IdeaProjects\untitled\scheduler\xpu-pool-service\ci\at\at_deploy.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 48, 0, 0, 0, 5, 53
"c:\Users\admin\IdeaProjects\untitled\scheduler\xpu-pool-service\ci\build.sh", "Shell Script", 0, 0, 0, 0, 0, 80, 0, 0, 0, 0, 0, 4, 18, 102
"c:\Users\admin\IdeaProjects\untitled\scheduler\xpu-pool-service\ci\build.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 44, 0, 0, 0, 4, 48
"c:\Users\admin\IdeaProjects\untitled\scheduler\xpu-pool-service\ci\buildinfo.sh", "Shell Script", 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 3, 2, 16
"c:\Users\admin\IdeaProjects\untitled\scheduler\xpu-pool-service\ci\cmc\openSource_x86.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 24
"c:\Users\admin\IdeaProjects\untitled\scheduler\xpu-pool-service\ci\cmc\upload_cmc.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 24
"c:\Users\admin\IdeaProjects\untitled\scheduler\xpu-pool-service\ci\cms_signature.sh", "Shell Script", 0, 0, 0, 0, 0, 55, 0, 0, 0, 0, 0, 3, 6, 64
"c:\Users\admin\IdeaProjects\untitled\scheduler\xpu-pool-service\ci\dependency.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 1, 0, 8
"c:\Users\admin\IdeaProjects\untitled\scheduler\xpu-pool-service\ci\hwp7s_signature.sh", "Shell Script", 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 4, 3, 44
"c:\Users\admin\IdeaProjects\untitled\scheduler\xpu-pool-service\ci\opensource.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 6
"c:\Users\admin\IdeaProjects\untitled\scheduler\xpu-pool-service\ci\xpu_pool\build_x86.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 65, 0, 0, 0, 5, 70
"c:\Users\admin\IdeaProjects\untitled\scheduler\xpu-pool-service\ci\xpu_pool\build_xpu_package.sh", "Shell Script", 0, 0, 0, 0, 0, 107, 0, 0, 0, 0, 0, 3, 13, 123
"c:\Users\admin\IdeaProjects\untitled\scheduler\xpu-pool-service\ci\xpu_pool\xpu_docker_build\acl_client\Dockerfile", "Docker", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 2, 3, 10
"c:\Users\admin\IdeaProjects\untitled\scheduler\xpu-pool-service\ci\xpu_pool\xpu_docker_build\cuda_client\Dockerfile", "Docker", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 2, 3, 10
"c:\Users\admin\IdeaProjects\untitled\scheduler\xpu-pool-service\ci\xpu_pool\xpu_docker_build\exporter\Dockerfile", "Docker", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 4, 6, 30
"c:\Users\admin\IdeaProjects\untitled\scheduler\xpu-pool-service\ci\xpu_pool\xpu_docker_build\gpu_device_plugin\Dockerfile", "Docker", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 4, 5, 19
"c:\Users\admin\IdeaProjects\untitled\scheduler\xpu-pool-service\ci\xpu_pool\xpu_docker_build\npu_device_plugin\Dockerfile", "Docker", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 10, 4, 19
"c:\Users\admin\IdeaProjects\untitled\scheduler\xpu-pool-service\client_update\acl-client-update.sh", "Shell Script", 0, 0, 0, 0, 0, 60, 0, 0, 0, 0, 0, 28, 15, 103
"c:\Users\admin\IdeaProjects\untitled\scheduler\xpu-pool-service\client_update\cuda-client-update.sh", "Shell Script", 0, 0, 0, 0, 0, 68, 0, 0, 0, 0, 0, 35, 12, 115
"c:\Users\admin\IdeaProjects\untitled\scheduler\xpu-pool-service\direct\CMakeLists.txt", "CMake", 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 4, 25
"c:\Users\admin\IdeaProjects\untitled\scheduler\xpu-pool-service\direct\acl\CMakeLists.txt", "CMake", 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 7, 40
"c:\Users\admin\IdeaProjects\untitled\scheduler\xpu-pool-service\direct\make_lib_original.sh", "Shell Script", 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 1, 7, 41
"c:\Users\admin\IdeaProjects\untitled\scheduler\xpu-pool-service\xpu-exporter\Makefile", "Makefile", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5, 27
"c:\Users\admin\IdeaProjects\untitled\scheduler\xpu-pool-service\xpu-exporter\cmd\xpu-exporter\main.go", "Go", 107, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 18, 140
"c:\Users\admin\IdeaProjects\untitled\scheduler\xpu-pool-service\xpu-exporter\collector\collector_service.go", "Go", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 6, 25
"c:\Users\admin\IdeaProjects\untitled\scheduler\xpu-pool-service\xpu-exporter\common\cache\lrucache.go", "Go", 319, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 26, 366
"c:\Users\admin\IdeaProjects\untitled\scheduler\xpu-pool-service\xpu-exporter\common\cache\lrucache_test.go", "Go", 71, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 12, 89
"c:\Users\admin\IdeaProjects\untitled\scheduler\xpu-pool-service\xpu-exporter\common\client\client.go", "Go", 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 47
"c:\Users\admin\IdeaProjects\untitled\scheduler\xpu-pool-service\xpu-exporter\common\client\client_test.go", "Go", 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 11, 57
"c:\Users\admin\IdeaProjects\untitled\scheduler\xpu-pool-service\xpu-exporter\common\limiter\limit_handler.go", "Go", 223, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 28, 271
"c:\Users\admin\IdeaProjects\untitled\scheduler\xpu-pool-service\xpu-exporter\common\limiter\limit_handler_test.go", "Go", 90, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 12, 108
"c:\Users\admin\IdeaProjects\untitled\scheduler\xpu-pool-service\xpu-exporter\common\limiter\limit_listener.go", "Go", 112, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 17, 137
"c:\Users\admin\IdeaProjects\untitled\scheduler\xpu-pool-service\xpu-exporter\common\limiter\limit_listener_test.go", "Go", 78, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 94
"c:\Users\admin\IdeaProjects\untitled\scheduler\xpu-pool-service\xpu-exporter\common\service\api.pb.go", "Go", 292, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 43, 350
"c:\Users\admin\IdeaProjects\untitled\scheduler\xpu-pool-service\xpu-exporter\common\service\api_grpc.pb.go", "Go", 108, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 20, 152
"c:\Users\admin\IdeaProjects\untitled\scheduler\xpu-pool-service\xpu-exporter\common\test_utils.go", "Go", 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 10, 67
"c:\Users\admin\IdeaProjects\untitled\scheduler\xpu-pool-service\xpu-exporter\common\utils\ip_utils.go", "Go", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 6, 38
"c:\Users\admin\IdeaProjects\untitled\scheduler\xpu-pool-service\xpu-exporter\common\utils\type.go", "Go", 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 4, 42
"c:\Users\admin\IdeaProjects\untitled\scheduler\xpu-pool-service\xpu-exporter\go.mod", "Go Module File", 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 37
"c:\Users\admin\IdeaProjects\untitled\scheduler\xpu-pool-service\xpu-exporter\go.sum", "Go Checksum File", 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 42
"c:\Users\admin\IdeaProjects\untitled\scheduler\xpu-pool-service\xpu-exporter\server\prometheus.go", "Go", 223, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 31, 277
"c:\Users\admin\IdeaProjects\untitled\scheduler\xpu-pool-service\xpu-exporter\server\prometheus_test.go", "Go", 172, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 32, 209
"c:\Users\admin\IdeaProjects\untitled\scheduler\xpu-pool-service\xpu-exporter\versions\version.go", "Go", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 1, 12
"Total", "-", 3768, 54, 96, 219, 73, 474, 0, 62, 209, 13, 45, 466, 645, 6124
